UID,abn,file_extension,filesize,image_link,index:0,index:1,index:2,index:3,index:4,index:5,index:6,index:7,industry,legal_name,link,linkdown,number_of_emps,reporting_period,state,title,
11087777571:2012-2013,11087777571,DOCX, - 42.74 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Lucas Shared Services Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-09-17%2008-52-00%20627891%20Public%20Version%20-%20Lucas%20Shared%20Services%202012-2013%20revised%20report.docx,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-09-17%2008-52-00%20627891%20Public%20Version%20-%20Lucas%20Shared%20Services%202012-2013%20revised%20report.docx,512,2012-2013,Queensland,Lucas Shared Services Pty Limited,
11089642553:2011-2012,11089642553,DOC, - 267.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-23-00%20563211%20Public%20Version%20-%20QGC_EOWA%20Report_2011-2012_Public.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-23-00%20563211%20Public%20Version%20-%20QGC_EOWA%20Report_2011-2012_Public.doc,610,2011-2012,Queensland,QGC Pty Ltd,
11089642553:2012-2013,11089642553,DOC, - 80 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-09%2008-58-00%20611456%20Public%20Version%20-%202013_WGEA%20Report_QGC_FINAL.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-09%2008-58-00%20611456%20Public%20Version%20-%202013_WGEA%20Report_QGC_FINAL.doc,1055,2012-2013,Queensland,QGC Pty Ltd,
11089642553:2013-2014,11089642553,PDF, - 138.16 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_cttewnxkq6.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_cttewnxkq6.pdf,1887,2013-2014,QLD,QGC Pty Ltd,
11089642553:2014-2015,11089642553,PDF, - 147.71 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_xijt9858y5.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_xijt9858y5.pdf,1202,2014-2015,QLD,QGC Pty Ltd,
11089642553:2015-2016,11089642553,PDF, - 360.76 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,QGC Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_u2tyihmk19.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_u2tyihmk19.pdf,1037,2015-2016,QLD,QGC Pty Ltd,
11802390141:2013-2014,11802390141,PDF, - 117.16 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Trustee for Moultrie Group Trust,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_f7jclxpdmz.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_f7jclxpdmz.pdf,103,2013-2014,QLD,The Trustee for Moultrie Group Trust,
12060309104:2014-2015,12060309104,PDF, - 135 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,AJ Lucas Group Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_eqlx1ixzcl.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_eqlx1ixzcl.pdf,290,2014-2015,NSW,AJ Lucas Group Limited,
12060309104:2015-2016,12060309104,PDF, - 347.56 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,AJ Lucas Group Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_awdouksgnh.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_awdouksgnh.pdf,294,2015-2016,NSW,AJ Lucas Group Limited,
12115470552:2006-2007,12115470552,DOC, - 198.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,PTTEP Australasia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2008-02-19%2010-51-00%20439049%20Public%20Version%20-%20Affirmative%20Action%20-%20Report%202007.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2008-02-19%2010-51-00%20439049%20Public%20Version%20-%20Affirmative%20Action%20-%20Report%202007.doc,200,2006-2007,Western Australia,PTTEP Australasia Pty Ltd,
12115470552:2007-2008,12115470552,DOC, - 158.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,PTTEP Australasia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2009-02-18%2006-36-00%20455909%20Public%20Version%20-%20Affirmative%20Action%202008%20-%20Report.DOC,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2009-02-18%2006-36-00%20455909%20Public%20Version%20-%20Affirmative%20Action%202008%20-%20Report.DOC,220,2007-2008,Western Australia,PTTEP Australasia Pty Ltd,
12124279750:2012-2013,12124279750,DOC, - 72 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Hughes Drilling Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-15%2011-29-00%20613729%20Public%20Version%20-%20WGEA%20Report%20May%202013.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-15%2011-29-00%20613729%20Public%20Version%20-%20WGEA%20Report%20May%202013.doc,224,2012-2013,Queensland,Hughes Drilling Limited,
13009437512:2013-2014,13009437512,PDF, - 126.74 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Underground Services Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_qsussrdodi.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_qsussrdodi.pdf,128,2013-2014,WA,Underground Services Australia Pty Ltd,
13009437512:2014-2015,13009437512,PDF, - 130.63 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Underground Services Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_wzvlkhr1o5.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_wzvlkhr1o5.pdf,244,2014-2015,WA,Underground Services Australia Pty Ltd,
13009437512:2015-2016,13009437512,PDF, - 343.69 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Underground Services Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_sjles6xtva.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_sjles6xtva.pdf,130,2015-2016,WA,Underground Services Australia Pty Ltd,
13080117291:2013-2014,13080117291,PDF, - 129.84 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Exact Mining Services Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_jvfar1dpek.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_jvfar1dpek.pdf,525,2013-2014,SA,Exact Mining Services Pty Ltd,
13080117291:2014-2015,13080117291,PDF, - 138.85 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Exact Mining Services Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_wahnxxr9lp.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_wahnxxr9lp.pdf,414,2014-2015,SA,Exact Mining Services Pty Ltd,
13080117291:2015-2016,13080117291,PDF, - 347.44 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Exact Mining Services Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_ikccmxh0ox.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_ikccmxh0ox.pdf,355,2015-2016,SA,Exact Mining Services Pty Ltd,
13112682158:2014-2015,13112682158,PDF, - 132.9 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Cockatoo Coal Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_kqw48l5zbs.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_kqw48l5zbs.pdf,139,2014-2015,QLD,Cockatoo Coal Limited,
13112682158:2015-2016,13112682158,PDF, - 341.46 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Cockatoo Coal Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_0ko83g6tuc.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_0ko83g6tuc.pdf,122,2015-2016,QLD,Cockatoo Coal Limited,
14000317251:2014-2015,14000317251,PDF, - 135.58 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,CuDeco Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_dxgbcblg7e.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_dxgbcblg7e.pdf,145,2014-2015,QLD,CuDeco Limited,
14000317251:2015-2016,14000317251,PDF, - 339.89 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,CuDeco Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_mhtke1b3w5.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_mhtke1b3w5.pdf,97,2015-2016,QLD,CuDeco Limited,
14004519617:2012-2013,14004519617,DOC, - 74.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,E.B. Mawson \u0026 Sons Proprietary Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-08%2002-31-00%20610815%20Public%20Version%20-%202012-12-10-Public_Report_Form_2012-2013_link.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-08%2002-31-00%20610815%20Public%20Version%20-%202012-12-10-Public_Report_Form_2012-2013_link.doc,252,2012-2013,Victoria,E.B. Mawson \u0026 Sons Proprietary Limited,
14004519617:2013-2014,14004519617,PDF, - 127.88 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,E.B. Mawson \u0026 Sons Proprietary Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_kgfktybofd.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_kgfktybofd.pdf,280,2013-2014,VIC,E.B. Mawson \u0026 Sons Proprietary Limited,
14004519617:2014-2015,14004519617,PDF, - 132.48 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,E.B. Mawson \u0026 Sons Proprietary Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_klzgdefm9w.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_klzgdefm9w.pdf,293,2014-2015,VIC,E.B. Mawson \u0026 Sons Proprietary Limited,
14004519617:2015-2016,14004519617,PDF, - 340.29 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,E.B. Mawson \u0026 Sons Proprietary Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_tuvnbtpi8g.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_tuvnbtpi8g.pdf,308,2015-2016,VIC,E.B. Mawson \u0026 Sons Proprietary Limited,
14009271461:2012-2013,14009271461,XLS, - 26.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Notch Holdings Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-06-12%2002-53-00%20604112%20Public%20Version%20-%20Workplace_Profile%20Exploration%20Drilling%20March%202013.xls,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-06-12%2002-53-00%20604112%20Public%20Version%20-%20Workplace_Profile%20Exploration%20Drilling%20March%202013.xls,113,2012-2013,Queensland,Notch Holdings Pty Ltd,
14009663576:2014-2015,14009663576,PDF, - 149.24 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Shell Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_lt5r035nom.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_lt5r035nom.pdf,780,2014-2015,WA,Shell Australia Pty Ltd,
14009663576:2015-2016,14009663576,PDF, - 365.12 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Shell Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_wfyac4p1qw.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_wfyac4p1qw.pdf,768,2015-2016,WA,Shell Australia Pty Ltd,
15090874570:2010-2011,15090874570,DOC, - 123.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Bureau Veritas Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2012-01-24%2007-49-00%20536372%20Public%20Version%20-%20EOWA%20Public_Report_Form%2010-11.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2012-01-24%2007-49-00%20536372%20Public%20Version%20-%20EOWA%20Public_Report_Form%2010-11.doc,2290,2010-2011,Victoria,Bureau Veritas Australia Pty Ltd,
15090874570:2011-2012,15090874570,DOC, - 111 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Bureau Veritas Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-26-00%20564685%20Public%20Version%20-%20EOWA%20Public_Report_Form%2011-12.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-26-00%20564685%20Public%20Version%20-%20EOWA%20Public_Report_Form%2011-12.doc,2466,2011-2012,Victoria,Bureau Veritas Australia Pty Ltd,
15090874570:2012-2013,15090874570,DOC, - 75.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Bureau Veritas Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-14%2009-15-00%20611343%20Public%20Version%20-%20WGEA%20Public_Report_Form_2012-2013%20%28Bureau%20Veritas%29.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-14%2009-15-00%20611343%20Public%20Version%20-%20WGEA%20Public_Report_Form_2012-2013%20%28Bureau%20Veritas%29.doc,1840,2012-2013,Victoria,Bureau Veritas Australia Pty Ltd,
15090874570:2013-2014,15090874570,PDF, - 131.64 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Bureau Veritas Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_hlebcpqorp.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_hlebcpqorp.pdf,1671,2013-2014,VIC,Bureau Veritas Australia Pty Ltd,
15090874570:2014-2015,15090874570,PDF, - 137.17 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Bureau Veritas Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_nozmeeaqkt.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_nozmeeaqkt.pdf,1540,2014-2015,VIC,Bureau Veritas Australia Pty Ltd,
15090874570:2015-2016,15090874570,PDF, - 348.86 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Bureau Veritas Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_vp7yju1kux.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_vp7yju1kux.pdf,1361,2015-2016,VIC,Bureau Veritas Australia Pty Ltd,
16008667285:2006-2007,16008667285,DOC,,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Griffin Coal Mining Company Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2008-02-19%2009-08-00%20428704%20Public%20Version%20-%20Public%20Report%202007.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2008-02-19%2009-08-00%20428704%20Public%20Version%20-%20Public%20Report%202007.doc,400,2006-2007,Western Australia,The Griffin Coal Mining Company Pty Limited,
16008667285:2007-2008,16008667285,DOC, - 196 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Griffin Coal Mining Company Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2009-02-18%2005-52-00%20457464%20Public%20Version%20-%20080526%20Public_Report_Form.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2009-02-18%2005-52-00%20457464%20Public%20Version%20-%20080526%20Public_Report_Form.doc,406,2007-2008,Western Australia,The Griffin Coal Mining Company Pty Limited,
16008667285:2008-2009,16008667285,DOC, - 132 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Griffin Coal Mining Company Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2009-11-26%2003-32-00%20479209%20Public%20Version%20-%20Public%20Report%20Form%20GCM.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2009-11-26%2003-32-00%20479209%20Public%20Version%20-%20Public%20Report%20Form%20GCM.doc,493,2008-2009,Western Australia,The Griffin Coal Mining Company Pty Limited,
16008667285:2009-2010,16008667285,DOC, - 136 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Griffin Coal Mining Company Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2010-12-14%2005-53-00%20509438%20Public%20Version%20-%20GCM%20Public%20Report%20Form%202010.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2010-12-14%2005-53-00%20509438%20Public%20Version%20-%20GCM%20Public%20Report%20Form%202010.doc,474,2009-2010,Western Australia,The Griffin Coal Mining Company Pty Limited,
16008667285:2010-2011,16008667285,DOC, - 131.5 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Griffin Coal Mining Company Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2012-01-24%2006-55-00%20531171%20Public%20Version%20-%20Public%20Report%20Form%20GCM%202011.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2012-01-24%2006-55-00%20531171%20Public%20Version%20-%20Public%20Report%20Form%20GCM%202011.doc,428,2010-2011,Western Australia,The Griffin Coal Mining Company Pty Limited,
16008667285:2011-2012,16008667285,DOCX, - 74.09 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Griffin Coal Mining Company Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-21-00%20560467%20Public%20Version%20-%20EOWA%20Report%20Form%202012.docx,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-21-00%20560467%20Public%20Version%20-%20EOWA%20Report%20Form%202012.docx,477,2011-2012,Western Australia,The Griffin Coal Mining Company Pty Limited,
16008667285:2012-2013,16008667285,DOC, - 83 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Griffin Coal Mining Company Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-06-19%2001-04-00%20604341%20Public%20Version%20-%20Griffin%20Coal%20Mining%20Company_Public%20Report%20Form_2012-13.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-06-19%2001-04-00%20604341%20Public%20Version%20-%20Griffin%20Coal%20Mining%20Company_Public%20Report%20Form_2012-13.doc,463,2012-2013,Western Australia,The Griffin Coal Mining Company Pty Limited,
16008667285:2013-2014,16008667285,PDF, - 117.88 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,The Griffin Coal Mining Company Pty Limited,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_7h1sfhsalc.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_7h1sfhsalc.pdf,394,2013-2014,WA,The Griffin Coal Mining Company Pty Limited,
17009779873:2014-2015,17009779873,PDF, - 133.34 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Mitsubishi Development Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_ekl8tomxyi.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_ekl8tomxyi.pdf,31,2014-2015,QLD,Mitsubishi Development Pty Ltd,
17009779873:2015-2016,17009779873,PDF, - 344.83 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Mitsubishi Development Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_ycyvnuylk4.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_ycyvnuylk4.pdf,31,2015-2016,QLD,Mitsubishi Development Pty Ltd,
17062536270:2009-2010,17062536270,DOC, - 131 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Vale Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2010-12-14%2006-06-00%20511107%20Public%20Version%20-%202010%20EOWA%20Public_Report_Form_Vale%20Australia.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2010-12-14%2006-06-00%20511107%20Public%20Version%20-%202010%20EOWA%20Public_Report_Form_Vale%20Australia.doc,1032,2009-2010,Queensland,Vale Australia Pty Ltd,
17062536270:2010-2011,17062536270,DOC, - 151 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Vale Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2012-01-24%2007-24-00%20534601%20Public%20Version%20-%20EOWA%20Public_Report_Form%202011_Vale%20Australia.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2012-01-24%2007-24-00%20534601%20Public%20Version%20-%20EOWA%20Public_Report_Form%202011_Vale%20Australia.doc,1094,2010-2011,Queensland,Vale Australia Pty Ltd,
17062536270:2011-2012,17062536270,DOC, - 122 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Vale Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-23-00%20562725%20Public%20Version%20-%20Public_Report_Form%20%282%29Vale%20Australia.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-01-21%2003-23-00%20562725%20Public%20Version%20-%20Public_Report_Form%20%282%29Vale%20Australia.doc,1235,2011-2012,Queensland,Vale Australia Pty Ltd,
17062536270:2012-2013,17062536270,DOC, - 75 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Vale Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-08%2010-40-00%20610005%20Public%20Version%20-%202012-12-10-Public_Report_Form_2012-2013_0.doc,https:\/\/www.wgea.gov.au\/sites\/default\/files\/2013-10-08%2010-40-00%20610005%20Public%20Version%20-%202012-12-10-Public_Report_Form_2012-2013_0.doc,1034,2012-2013,Queensland,Vale Australia Pty Ltd,
17062536270:2013-2014,17062536270,PDF, - 116.96 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Vale Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_d0zeysy90b.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_d0zeysy90b.pdf,1034,2013-2014,QLD,Vale Australia Pty Ltd,
17062536270:2014-2015,17062536270,PDF, - 125.3 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Vale Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_qvztckawos.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_qvztckawos.pdf,309,2014-2015,QLD,Vale Australia Pty Ltd,
17062536270:2015-2016,17062536270,PDF, - 351.49 KB,https:\/\/www.wgea.gov.au\/sites\/all\/themes\/wgea\/images\/TitleImg2.png,,,,,,,,,Mining,Vale Australia Pty Ltd,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_m4ccvlcphc.pdf,https:\/\/www.wgea.gov.au\/sites\/default\/files\/public_reports\/tempPublicReport_m4ccvlcphc.pdf,267,2015-2016,QLD,Vale Australia Pty Ltd,
